instance_file,n_items,capacity,dp_value,dp_weight,dp_feasible,dp_time_ms,dp_selected_items,gnn_value,gnn_weight,gnn_feasible_actual,gnn_time_ms,gnn_gap,gnn_ratio,gnn_selected_items,gnn_feasible_reported,gnn_items_out_of_range,gnn_oor_item_count,gnn_infeasibility_reason,greedy_value,greedy_weight,greedy_feasible_actual,greedy_time_ms,greedy_gap,greedy_ratio,greedy_selected_items,ga_value,ga_weight,ga_feasible_actual,ga_time_ms,ga_gap,ga_ratio,ga_selected_items,dqn_value,dqn_weight,dqn_feasible_actual,dqn_time_ms,dqn_gap,dqn_ratio,dqn_selected_items
instance_0013.npz,61,4489.0,5655.0,4487.0,1,103.845,"[3, 7, 10, 15, 21, 26, 30, 31, 48, 53, 60]",5482.0,4412.0,1,3.7204,0.030592,0.969408,"[3, 7, 9, 10, 15, 20, 21, 30, 31, 33, 40, 48, 53, 60]",1,0,0,ok,5604.0,4431.0,1,0.045,0.009019,0.990981,"[3, 7, 9, 10, 21, 26, 30, 31, 48, 53, 60]",5592.0,4469.0,1,79.7791,0.011141,0.988859,"[3, 7, 26, 30, 31, 42, 45, 48]",,,,,,,
instance_0014.npz,31,2260.0,2789.0,2256.0,1,23.9717,"[2, 13, 18, 28]",2726.0,2255.0,1,2.9654,0.022589,0.977411,"[7, 8, 13, 17, 18, 21, 22, 28, 29]",1,0,0,ok,2744.0,2230.0,1,0.038,0.016135,0.983865,"[8, 16, 17, 18, 21, 22, 28]",2789.0,2256.0,1,53.4216,0.0,1.0,"[2, 13, 18, 28]",,,,,,,
instance_0015.npz,18,1269.0,1538.0,1258.0,1,7.1726,"[0, 5, 11]",1520.0,1259.0,1,2.6868,0.011704,0.988296,"[0, 5, 10, 13]",1,0,0,ok,1522.0,1198.0,1,0.0308,0.010403,0.989597,"[0, 10, 11]",1538.0,1258.0,1,67.6276,0.0,1.0,"[0, 5, 11]",,,,,,,
instance_0016.npz,100,8562.0,10689.0,8561.0,1,379.6748,"[3, 10, 15, 22, 53, 60, 63, 65, 74, 75, 88, 90, 96, 97, 99]",10613.0,8528.0,1,4.6817,0.00711,0.99289,"[0, 3, 8, 10, 15, 16, 22, 24, 31, 53, 60, 63, 65, 67, 68, 74, 75, 88, 90, 99]",1,0,0,ok,10678.0,8544.0,1,0.0615,0.001029,0.998971,"[3, 8, 10, 15, 22, 24, 31, 53, 60, 63, 65, 67, 74, 75, 77, 88, 90, 99]",10670.0,8551.0,1,146.6575,0.001778,0.998222,"[3, 10, 15, 20, 24, 31, 53, 60, 63, 65, 74, 75, 88, 90, 99]",,,,,,,
instance_0017.npz,38,3539.0,4240.0,3536.0,1,48.9907,"[0, 8, 11, 16, 29, 31, 37]",4212.0,3514.0,1,3.2362,0.006604,0.993396,"[0, 8, 10, 11, 13, 16, 26, 31, 34, 37]",1,0,0,ok,4212.0,3514.0,1,0.0404,0.006604,0.993396,"[0, 8, 10, 11, 13, 16, 26, 31, 34, 37]",4240.0,3536.0,1,68.4695,0.0,1.0,"[0, 8, 11, 16, 29, 31, 37]",,,,,,,
instance_0018.npz,98,7908.0,9558.0,7908.0,1,326.5767,"[0, 6, 9, 10, 20, 21, 23, 34, 38, 42, 50, 53, 60, 64, 65, 70, 71, 78, 85, 92]",9511.0,7906.0,1,5.6443,0.004917,0.995083,"[0, 3, 6, 9, 10, 14, 20, 21, 23, 24, 34, 38, 42, 46, 53, 56, 60, 63, 64, 65, 70, 71, 84, 85, 92]",1,0,0,ok,9558.0,7908.0,1,0.0549,0.0,1.0,"[0, 6, 9, 10, 20, 21, 23, 34, 38, 42, 50, 53, 60, 64, 65, 70, 71, 78, 85, 92]",9547.0,7906.0,1,136.1146,0.001151,0.998849,"[0, 6, 10, 14, 20, 21, 23, 34, 38, 42, 50, 53, 60, 64, 65, 70, 71, 84, 92]",,,,,,,
instance_0019.npz,94,8939.0,11279.0,8939.0,1,367.0394,"[4, 6, 12, 15, 18, 38, 45, 48, 54, 55, 58, 60, 68, 71, 83, 88, 89]",11235.0,8913.0,1,4.1892,0.003901,0.996099,"[4, 6, 12, 15, 18, 21, 25, 38, 42, 45, 48, 54, 55, 58, 63, 66, 68, 71, 83, 88, 89, 92]",1,0,0,ok,11214.0,8874.0,1,0.0714,0.005763,0.994237,"[4, 6, 15, 18, 19, 38, 45, 48, 54, 55, 58, 63, 66, 68, 71, 83, 88, 89, 92]",11261.0,8923.0,1,73.6122,0.001596,0.998404,"[4, 15, 18, 19, 25, 38, 45, 48, 54, 58, 63, 66, 68, 71, 83, 88, 89, 92]",,,,,,,
instance_0020.npz,47,4446.0,5464.0,4445.0,1,84.9359,"[8, 10, 14, 16, 18, 20, 22, 31, 34, 38, 39, 42]",5346.0,4382.0,1,3.1322,0.021596,0.978404,"[8, 10, 16, 18, 20, 22, 23, 31, 33, 34, 39, 42, 45, 46]",1,0,0,ok,5464.0,4445.0,1,0.0432,0.0,1.0,"[8, 10, 14, 16, 18, 20, 22, 31, 34, 38, 39, 42]",5464.0,4445.0,1,50.3531,0.0,1.0,"[8, 10, 14, 16, 18, 20, 22, 31, 34, 38, 39, 42]",,,,,,,
instance_0021.npz,65,7434.0,9073.0,7434.0,1,210.4107,"[7, 13, 16, 17, 19, 25, 27, 30, 37, 42, 48, 50, 54, 55, 57, 61, 62]",9023.0,7423.0,1,4.8586,0.005511,0.994489,"[7, 8, 11, 13, 17, 25, 27, 30, 33, 37, 39, 40, 41, 42, 48, 50, 54, 55, 57, 58, 61, 62, 63]",1,0,0,ok,9056.0,7429.0,1,0.0573,0.001874,0.998126,"[7, 13, 17, 19, 25, 27, 30, 33, 34, 37, 41, 42, 50, 54, 55, 57, 58, 61, 62, 63]",9071.0,7429.0,1,89.8089,0.00022,0.99978,"[7, 13, 16, 17, 19, 25, 27, 30, 33, 37, 42, 50, 54, 55, 57, 61, 62]",,,,,,,
instance_0022.npz,19,2034.0,2515.0,1993.0,1,13.255,"[0, 2, 5, 13, 14]",2349.0,1944.0,1,2.7458,0.066004,0.933996,"[0, 2, 6, 9, 13, 14]",1,0,0,ok,2515.0,1993.0,1,0.0484,0.0,1.0,"[0, 2, 5, 13, 14]",2515.0,1993.0,1,38.2302,0.0,1.0,"[0, 2, 5, 13, 14]",,,,,,,
instance_0023.npz,32,4192.0,5241.0,4174.0,1,59.9077,"[5, 9, 11, 12, 16, 17, 21, 27, 28, 30]",4982.0,4115.0,1,2.8417,0.049418,0.950582,"[3, 5, 10, 11, 12, 16, 17, 21, 22, 27, 28, 30]",1,0,0,ok,5241.0,4174.0,1,0.0423,0.0,1.0,"[5, 9, 11, 12, 16, 17, 21, 27, 28, 30]",5238.0,4186.0,1,39.48,0.000572,0.999428,"[9, 11, 12, 17, 22, 27, 28, 30, 31]",,,,,,,
instance_0024.npz,10,1319.0,1566.0,1317.0,1,3.402,"[3, 4]",1332.0,1080.0,1,2.6237,0.149425,0.850575,"[0, 6, 9]",1,0,0,ok,1332.0,1080.0,1,0.0495,0.149425,0.850575,"[0, 6, 9]",1566.0,1317.0,1,30.2751,0.0,1.0,"[3, 4]",,,,,,,
instance_0025.npz,31,3571.0,4456.0,3560.0,1,45.1381,"[4, 9, 10, 12, 13, 14, 24]",4405.0,3567.0,1,3.1791,0.011445,0.988555,"[1, 4, 5, 6, 9, 10, 12, 13, 14, 17, 18, 30]",1,0,0,ok,4405.0,3567.0,1,0.0408,0.011445,0.988555,"[1, 4, 5, 6, 9, 10, 12, 13, 14, 17, 18, 30]",4456.0,3560.0,1,49.5922,0.0,1.0,"[4, 9, 10, 12, 13, 14, 24]",,,,,,,
instance_0026.npz,76,9425.0,11421.0,9425.0,1,288.9906,"[0, 2, 5, 6, 11, 14, 15, 17, 18, 23, 24, 35, 36, 49, 51, 53, 59, 61, 65, 66, 68, 71, 74]",11235.0,9385.0,1,3.7771,0.016286,0.983714,"[0, 2, 5, 6, 14, 15, 17, 18, 22, 23, 24, 35, 36, 42, 43, 45, 49, 51, 52, 53, 55, 59, 61, 65, 66, 68, 69, 71, 74]",1,0,0,ok,11370.0,9379.0,1,0.0511,0.004465,0.995535,"[0, 2, 5, 6, 11, 14, 15, 17, 18, 23, 24, 35, 42, 45, 49, 51, 53, 59, 61, 65, 66, 68, 69, 71, 74]",11398.0,9424.0,1,90.2261,0.002014,0.997986,"[2, 5, 6, 8, 11, 14, 15, 18, 22, 35, 42, 49, 51, 53, 59, 61, 65, 66, 68, 69, 71, 74]",,,,,,,
instance_0027.npz,77,11033.0,13261.0,11032.0,1,378.8324,"[1, 2, 3, 6, 12, 20, 21, 23, 28, 29, 31, 39, 41, 42, 46, 51, 52, 60, 61, 65, 69, 70, 72]",13113.0,10958.0,1,4.4708,0.011161,0.988839,"[1, 2, 3, 6, 20, 21, 23, 24, 28, 29, 31, 38, 39, 41, 42, 46, 48, 49, 51, 52, 54, 55, 59, 60, 61, 64, 65, 69, 72]",1,0,0,ok,13255.0,11026.0,1,0.0484,0.000452,0.999548,"[1, 2, 3, 6, 20, 21, 23, 28, 31, 38, 39, 41, 42, 46, 49, 51, 52, 55, 59, 60, 61, 63, 65, 69, 70, 72]",13232.0,11033.0,1,68.1371,0.002187,0.997813,"[1, 2, 3, 6, 12, 21, 23, 28, 31, 39, 41, 48, 51, 59, 60, 61, 65, 69, 70]",,,,,,,
instance_0028.npz,41,5922.0,7341.0,5921.0,1,107.7826,"[0, 1, 6, 9, 12, 14, 17, 18, 26, 28, 34, 35, 40]",7340.0,5918.0,1,3.4114,0.000136,0.999864,"[0, 1, 6, 9, 12, 14, 15, 17, 18, 26, 28, 30, 35, 40]",1,0,0,ok,7340.0,5918.0,1,0.041,0.000136,0.999864,"[0, 1, 6, 9, 12, 14, 15, 17, 18, 26, 28, 30, 35, 40]",7324.0,5917.0,1,92.2141,0.002316,0.997684,"[0, 1, 6, 9, 10, 12, 17, 28, 30, 35, 40]",,,,,,,
instance_0029.npz,62,9218.0,11287.0,9217.0,1,274.2755,"[0, 2, 3, 5, 10, 14, 17, 28, 33, 37, 43, 45, 46, 48, 49, 50, 51, 53]",11217.0,9216.0,1,3.4361,0.006202,0.993798,"[0, 2, 3, 10, 14, 17, 18, 20, 27, 28, 36, 37, 38, 43, 45, 46, 48, 49, 50, 51, 53, 55]",1,0,0,ok,11285.0,9213.0,1,0.045,0.000177,0.999823,"[0, 2, 3, 5, 10, 14, 17, 18, 20, 28, 33, 36, 37, 43, 45, 46, 48, 50, 51, 53]",11261.0,9210.0,1,109.0564,0.002304,0.997696,"[0, 2, 3, 10, 14, 17, 20, 28, 33, 36, 37, 43, 45, 46, 48, 51, 53, 55]",,,,,,,
instance_0030.npz,53,7589.0,9321.0,7589.0,1,182.1047,"[4, 7, 9, 12, 14, 15, 18, 22, 25, 27, 28, 35, 37, 38, 40, 45, 48]",9137.0,7506.0,1,3.7259,0.01974,0.98026,"[0, 2, 4, 7, 9, 12, 14, 15, 18, 21, 22, 24, 27, 28, 31, 35, 37, 38, 40, 44, 45, 48]",1,0,0,ok,9293.0,7589.0,1,0.0422,0.003004,0.996996,"[2, 4, 7, 9, 14, 15, 18, 21, 22, 25, 27, 28, 31, 37, 38, 40, 44, 45, 48]",9321.0,7589.0,1,131.206,0.0,1.0,"[4, 7, 9, 12, 14, 15, 18, 22, 25, 27, 28, 35, 37, 38, 40, 45, 48]",,,,,,,
instance_0031.npz,100,17434.0,21034.0,17434.0,1,692.0635,"[1, 3, 6, 8, 9, 12, 13, 21, 22, 25, 26, 37, 45, 48, 50, 53, 54, 55, 56, 58, 63, 67, 70, 73, 74, 75, 76, 77, 83, 85, 86, 92, 93, 94, 97]",20925.0,17375.0,1,5.2361,0.005182,0.994818,"[0, 1, 3, 6, 8, 9, 12, 13, 21, 22, 25, 26, 35, 37, 45, 48, 50, 53, 54, 55, 56, 58, 63, 65, 70, 73, 74, 75, 76, 77, 83, 84, 85, 86, 92, 93, 94, 96, 97]",1,0,0,ok,21022.0,17415.0,1,0.0535,0.000571,0.999429,"[1, 3, 6, 8, 9, 12, 13, 21, 22, 25, 26, 45, 48, 50, 53, 54, 55, 56, 58, 63, 65, 67, 70, 73, 74, 75, 76, 77, 83, 85, 86, 92, 93, 94, 96, 97]",20987.0,17422.0,1,159.6926,0.002234,0.997766,"[1, 6, 8, 9, 12, 13, 21, 22, 25, 26, 39, 45, 50, 53, 54, 55, 56, 58, 63, 67, 73, 74, 75, 76, 77, 83, 85, 86, 93, 94, 96, 97]",,,,,,,
