instance_file,n_items,capacity,total_weight,total_value,feasible,inference_time_ms,selected_items
instance_0119.npz,56,5745,5743,7245,1,19.6683,"[0, 10, 17, 18, 22, 25, 26, 31, 34, 38, 43, 52]"
instance_0120.npz,22,2300,2300,2878,1,2.5491,"[0, 3, 6, 12, 14, 16]"
instance_0121.npz,43,4921,4921,5964,1,12.7511,"[2, 10, 11, 17, 18, 25, 26, 27, 33, 42]"
instance_0122.npz,20,2295,2286,2794,1,2.3351,"[1, 9, 12, 16, 17]"
instance_0123.npz,73,8924,8922,11160,1,45.1788,"[2, 5, 9, 11, 12, 28, 31, 32, 36, 37, 41, 43, 56, 57, 62, 67, 69, 72]"
instance_0124.npz,28,3823,3800,4599,1,6.0278,"[3, 9, 14, 16, 20, 23]"
instance_0125.npz,61,8552,8551,10563,1,34.1739,"[2, 6, 7, 11, 12, 13, 17, 22, 32, 40, 44, 51, 52, 53, 56, 57, 59, 60]"
instance_0126.npz,65,7860,7860,9720,1,35.5157,"[0, 1, 5, 9, 14, 16, 19, 23, 32, 34, 35, 39, 44, 52, 55, 60, 61]"
instance_0127.npz,25,3484,3479,4060,1,5.5377,"[0, 2, 7, 11, 14, 18, 23, 24]"
instance_0128.npz,32,4227,4208,5137,1,8.2573,"[0, 2, 5, 10, 11, 18, 26, 29, 31]"
instance_0129.npz,31,4715,4709,5836,1,9.2665,"[4, 6, 17, 18, 20, 23, 24, 27]"
instance_0130.npz,22,3548,3542,4490,1,4.3064,"[5, 7, 10, 12, 20]"
instance_0131.npz,55,9458,9445,11725,1,31.6011,"[0, 3, 5, 10, 11, 15, 16, 18, 19, 22, 25, 27, 30, 37, 38, 43, 45, 48, 50, 51]"
instance_0132.npz,22,3782,3775,4385,1,4.835,"[2, 5, 8, 10, 11, 16, 20]"
instance_0133.npz,20,3757,3752,4471,1,4.2841,"[2, 3, 5, 6, 9, 12, 17]"
instance_0134.npz,27,4387,4351,5467,1,7.1209,"[3, 7, 16, 17, 18, 20]"
instance_0135.npz,25,3632,3630,4451,1,4.8717,"[0, 4, 6, 10, 12, 15, 16, 22]"
instance_0136.npz,92,15315,15315,18495,1,94.9425,"[0, 1, 3, 5, 6, 9, 10, 12, 15, 16, 23, 29, 33, 39, 44, 48, 56, 58, 59, 62, 67, 68, 69, 70, 71, 73, 74, 75, 76, 79, 83, 90]"
instance_0137.npz,68,11501,11496,13806,1,55.1153,"[2, 5, 7, 9, 10, 12, 14, 18, 21, 25, 32, 37, 39, 40, 41, 42, 44, 45, 46, 57, 59, 60, 61, 63, 64, 65]"
instance_0138.npz,52,9196,9196,10960,1,32.0728,"[1, 2, 5, 9, 11, 13, 15, 17, 19, 20, 28, 29, 30, 31, 32, 34, 37, 38, 40, 45, 48]"
instance_0139.npz,74,14853,14844,17804,1,75.1304,"[0, 1, 4, 6, 7, 10, 12, 15, 18, 19, 21, 28, 31, 32, 34, 35, 39, 40, 42, 44, 45, 46, 47, 53, 54, 59, 61, 64, 67, 72]"
instance_0140.npz,81,15713,15710,18878,1,82.842,"[5, 6, 10, 12, 13, 15, 17, 19, 23, 28, 29, 30, 31, 37, 41, 44, 45, 47, 56, 60, 61, 63, 65, 73, 74, 76, 78, 80]"
instance_0141.npz,61,13064,13064,15358,1,52.9295,"[1, 13, 17, 18, 22, 24, 25, 26, 28, 29, 34, 36, 37, 38, 39, 43, 44, 46, 47, 49, 54, 56, 58]"
instance_0142.npz,16,2900,2873,3465,1,2.61,"[0, 1, 2, 3, 5, 6, 7, 11]"
instance_0143.npz,39,9632,9629,10946,1,25.9402,"[0, 1, 3, 5, 9, 10, 11, 12, 14, 15, 17, 19, 21, 22, 28, 31, 34, 35, 36]"
instance_0144.npz,39,11356,11356,13360,1,30.4853,"[0, 3, 4, 5, 6, 7, 9, 10, 11, 15, 20, 23, 24, 25, 26, 28, 32, 36]"
instance_0145.npz,28,6038,6038,7223,1,11.4696,"[4, 5, 6, 8, 9, 11, 13, 14, 15, 19, 23, 24, 26, 27]"
instance_0146.npz,27,6452,6437,7567,1,11.2978,"[0, 3, 6, 9, 12, 13, 15, 16, 19, 20, 22, 23]"
instance_0147.npz,65,15504,15501,17599,1,69.2694,"[0, 3, 8, 12, 13, 16, 17, 18, 19, 20, 24, 26, 28, 30, 31, 35, 37, 38, 39, 41, 43, 44, 47, 48, 49, 50, 51, 52, 53, 55, 56, 60, 61, 63]"
instance_0148.npz,79,17160,17158,20084,1,94.0927,"[7, 8, 9, 10, 11, 12, 14, 19, 21, 22, 27, 28, 29, 31, 32, 37, 38, 40, 43, 44, 45, 47, 48, 49, 51, 52, 53, 54, 55, 56, 61, 64, 65, 68, 73]"
instance_0149.npz,69,18144,18135,20942,1,85.2793,"[2, 3, 5, 6, 9, 11, 12, 13, 14, 15, 21, 24, 26, 27, 32, 33, 34, 35, 36, 38, 39, 43, 45, 46, 47, 48, 50, 51, 53, 54, 56, 58, 59, 60, 61, 63, 65]"
instance_0150.npz,70,16560,16560,19557,1,78.7165,"[0, 1, 2, 3, 4, 6, 7, 9, 17, 18, 19, 22, 24, 25, 26, 31, 32, 37, 38, 39, 42, 43, 46, 49, 51, 55, 56, 61, 65, 66, 67, 68, 69]"
instance_0151.npz,42,12840,12826,14704,1,37.4931,"[2, 3, 5, 7, 8, 12, 13, 14, 15, 20, 21, 22, 23, 25, 27, 30, 31, 34, 36, 37, 38, 40]"
instance_0152.npz,76,20084,20082,23566,1,106.8621,"[1, 2, 3, 8, 9, 10, 11, 13, 14, 15, 17, 19, 20, 21, 24, 25, 26, 28, 29, 32, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 50, 51, 54, 56, 57, 59, 64, 70, 72]"
instance_0153.npz,20,4949,4945,5397,1,6.7722,"[0, 1, 2, 3, 5, 9, 12, 17, 19]"
instance_0154.npz,73,18812,18808,21858,1,96.1938,"[1, 2, 3, 4, 5, 8, 9, 10, 12, 14, 15, 18, 19, 21, 25, 27, 29, 30, 35, 36, 38, 39, 43, 45, 47, 49, 54, 56, 57, 58, 59, 61, 62, 63, 65, 70, 71]"
instance_0155.npz,18,4461,4458,5184,1,4.9926,"[0, 1, 3, 4, 10, 11, 12, 16, 17]"
instance_0156.npz,100,27777,27776,32404,1,210.4034,"[0, 2, 5, 7, 8, 9, 12, 15, 18, 19, 21, 22, 25, 26, 27, 29, 30, 31, 34, 37, 39, 40, 41, 43, 44, 45, 48, 50, 53, 54, 55, 57, 58, 62, 64, 66, 67, 68, 69, 71, 73, 77, 78, 82, 83, 85, 86, 87, 88, 89, 90, 96, 97]"
instance_0157.npz,46,12916,12910,15003,1,44.7615,"[0, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 17, 18, 21, 22, 28, 36, 37, 38, 40, 41, 42, 44, 45]"
instance_0158.npz,26,6279,6278,7216,1,12.4676,"[0, 2, 4, 7, 11, 13, 16, 17, 18, 19, 20, 24, 25]"
instance_0159.npz,46,13034,13034,14733,1,45.088,"[0, 2, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 19, 20, 22, 24, 25, 27, 32, 35, 38, 40, 42, 43, 44, 45]"
instance_0160.npz,35,8947,8946,9835,1,22.2399,"[0, 1, 4, 5, 6, 7, 8, 9, 12, 17, 19, 22, 23, 24, 25, 27, 28, 30, 32, 34]"
instance_0161.npz,61,20262,20262,23509,1,90.9518,"[4, 7, 8, 10, 12, 14, 15, 16, 18, 19, 21, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 58, 60]"
instance_0162.npz,50,15643,15640,17488,1,57.8731,"[0, 1, 4, 6, 8, 9, 10, 12, 13, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 38, 39, 40, 43, 46, 48, 49]"
instance_0163.npz,70,20345,20341,23043,1,109.0254,"[0, 2, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 19, 20, 21, 23, 24, 25, 30, 32, 33, 34, 36, 38, 40, 41, 42, 43, 45, 47, 48, 49, 50, 51, 52, 54, 57, 59, 60, 61, 64, 65, 66, 67, 68, 69]"
instance_0164.npz,45,15080,15076,16642,1,45.2589,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 19, 23, 25, 26, 27, 30, 31, 32, 33, 34, 35, 36, 38, 42, 43, 44]"
instance_0165.npz,20,6459,6435,7868,1,8.6529,"[0, 3, 5, 6, 10, 13, 14, 16, 18, 19]"
instance_0166.npz,87,31272,31270,34054,1,187.971,"[0, 2, 3, 4, 5, 6, 8, 9, 11, 14, 15, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54, 55, 60, 61, 63, 64, 65, 66, 68, 70, 72, 74, 75, 77, 78, 80, 82, 84, 85]"
instance_0167.npz,81,29353,29348,32816,1,168.984,"[0, 1, 4, 5, 6, 8, 9, 10, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 28, 29, 30, 31, 33, 34, 35, 38, 39, 40, 42, 44, 46, 48, 49, 50, 52, 53, 57, 58, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 72, 74, 75, 76, 77]"
instance_0168.npz,66,22375,22373,25660,1,106.4093,"[1, 2, 4, 6, 7, 8, 9, 13, 15, 17, 19, 21, 22, 23, 25, 26, 27, 28, 30, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 45, 47, 49, 50, 52, 54, 55, 56, 57, 58, 59, 60, 61, 63, 64, 65]"
instance_0169.npz,95,37097,37096,42942,1,263.3386,"[0, 1, 3, 4, 5, 6, 8, 9, 11, 13, 18, 20, 21, 22, 23, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40, 41, 43, 45, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 61, 62, 63, 64, 65, 67, 68, 69, 72, 73, 74, 77, 82, 83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94]"
instance_0170.npz,81,26754,26745,30693,1,158.1762,"[1, 3, 5, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 32, 33, 34, 36, 37, 41, 42, 43, 44, 45, 46, 47, 48, 51, 52, 53, 54, 55, 57, 58, 60, 61, 62, 63, 65, 66, 67, 69, 72, 73, 74, 76, 77, 78, 79, 80]"
instance_0171.npz,57,20628,20614,23099,1,87.6659,"[0, 3, 4, 5, 7, 10, 11, 12, 13, 17, 19, 20, 21, 22, 25, 27, 29, 30, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54]"
instance_0172.npz,73,26806,26805,29664,1,145.9705,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 17, 18, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 33, 35, 36, 38, 40, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 56, 57, 58, 59, 60, 61, 62, 63, 66, 67, 68, 69, 71, 72]"
instance_0173.npz,72,28221,28220,31486,1,148.1439,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 12, 15, 17, 18, 19, 20, 21, 22, 24, 25, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 45, 46, 47, 48, 50, 51, 52, 53, 55, 56, 58, 59, 61, 62, 63, 64, 65, 66, 67, 69, 70]"
instance_0174.npz,46,18271,18267,21041,1,62.7898,"[0, 1, 2, 3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 26, 28, 29, 30, 31, 33, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45]"
instance_0175.npz,17,5398,5384,6032,1,5.9131,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
instance_0176.npz,67,28769,28768,32561,1,139.3128,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 26, 27, 29, 30, 31, 32, 33, 35, 37, 40, 41, 42, 43, 44, 46, 47, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 62, 63, 64, 65]"
instance_0177.npz,70,28937,28924,31900,1,151.9429,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34, 37, 38, 39, 40, 41, 43, 45, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 65, 66, 68, 69]"
instance_0178.npz,22,8261,8251,9337,1,13.6252,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21]"
instance_0179.npz,12,4027,4021,4298,1,3.3627,"[0, 3, 4, 5, 7, 8, 9, 11]"
instance_0180.npz,40,15805,15802,17213,1,47.787,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 24, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38]"
instance_0181.npz,95,33568,33567,37813,1,240.1203,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 32, 33, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 71, 73, 75, 76, 77, 78, 80, 81, 82, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94]"
